id,trigger,conditions,script,text,options,notes
HegemonyIdealistic1PrisonerBluffNotHostile,HegemonyIdealistic1BluffSelected,"RepIsAtWorst $personFaction.id INHOSPITABLE","FireBest HegemonyIdealistic1PrisonerBluffSuccess",,,
HegemonyIdealistic1PrisonerBluffSuccess,HegemonyIdealistic1PrisonerBluffSuccess,,"FireBest TNP_HireActivePerson","$HeOrShe meets your gaze, takes your hand firmly, and slowly salutes you. ""I wouldn’t die for this sector, Captain, but I’ll fight for the one to come. I’ll follow you as long as it takes to lead this sector into the future.""","defaultLeave:Good.",
HegemonyIdealistic1Ransom,DialogOptionSelected,"$option == HegemonyIdealistic1Ransom","AddRemoveCommodity credits $coff_ransomprice true
FireBest TNP_RemoveActivePerson","$HeOrShe shoots you one last disapproving look before entering the shuttle. As it leaves weapons range of your fleet, you hear a ping from your Tri-Pad indicating that you've received the ransom funds from the Hegemony for the officer.",defaultLeave:Good.,
HegemonyIdealistic1PrisonerRelease,DialogOptionSelected,"$option == HegemonyIdealistic1PrisonerRelease","FireBest TNP_ReleaseActivePerson","$PersonRank $personLastName's defiant look turns to surprise as your security chief releases them. $HeOrShe massages $hisOrHer wrists briefly before making $hisOrHer way to the provided shuttle.

""I can't say I'm not grateful, Captain. If our paths cross again, I'll remember this.""","defaultLeave:Leave.",
HegemonyIdealistic1PrisonerReleaseBadBluff,DialogOptionSelected,"$option == HegemonyIdealistic1PrisonerRelease
$coff_failedBluff","FireBest TNP_ReleaseActivePerson","$PersonRank $personLastName's defiant look remains as your security chief releases them. $HeOrShe makes $hisOrHer way quickly to the shuttle before giving you one last glance.

""I will remember what you said to me, Captain. And everyone will know.""","defaultLeave:Leave.",
HegemonyIdealistic1PrisonerExecute,DialogOptionSelected,"$option == HegemonyIdealistic1PrisonerExecute","FireBest TNP_ExecuteActivePerson","$PersonRank $personLastName looks down briefly before lunging for you. Your security detail is prepared however, and pulse munitions end the $rank's short-lived resistance.","defaultLeave:Leave.",
HegemonyIdealistic1Executed,TNP_ExecutedPrisoner,"$coff_dialogtrigger == HegemonyIdealistic1", "AdjustRep $personFaction.id VENGEFUL -8",,,
HegemonyIdealistic1Released,TNP_ReleasedPrisoner,"$coff_dialogtrigger == HegemonyIdealistic1
!$coff_failedBluff", "AdjustRep $personFaction.id INHOSPITABLE 3",,,
HegemonyIdealistic1ReleasedFailedBluff,TNP_ReleasedPrisoner,"$coff_dialogtrigger == HegemonyIdealistic1
$coff_failedBluff", "AdjustRep $personFaction.id INHOSPITABLE -4",,,
"#END Idealistic 1",,,,,,
,,,,,,
# Dedicated 1,,,,,,
PickPrisonerDialog_HegemonyDedicated1,PickPrisonerDialog,"$personFaction.id == hegemony","$coff_dialogtrigger = HegemonyDedicated1
TNP_SetRandomInt hegeCode 100000 999999
$coff_allowedactions = ""talk,release,ransom,execute""",,,"Hegemony officer dedicated to their crew."
OpenPrisonerDialogFirst_HegemonyDedicated1,StartPrisonerDialog,"$coff_dialogtrigger == HegemonyDedicated1 score:100
!$coff_metprisoner","$coff_metprisoner = true
TNP_CalcBribePrice
FireAll PopulatePrisonerOptions_HegemonyDedicated1","$personName is brought to you in powered bindings strong enough to resist even augmented strength, although most Hegemony officials aren't known to have that level of augmentation. $HeOrShe stares defiantly into your eyes, speaking before you do.

""I am $personRank $personName, HSN-$hegeCode. If you have any more of my crew, release them immediately or there will be consequences.""",,
OpenPrisonerDialogAfterFirst_HegemonyDedicated1,StartPrisonerDialog,"$coff_dialogtrigger == HegemonyDedicated1 score:100
$coff_metprisoner","TNP_CalcBribePrice
FireAll PopulatePrisonerOptions_HegemonyDedicated1","$personName is brought to you again. $HisOrHer defiance hasn't wavered a bit, as $heOrShe stares defiantly in your eyes, speaking before you do.

""I told you that I have nothing more to say to you.""",,
HegemonyDedicated1BribeOptionFirst,PopulatePrisonerOptions_HegemonyDedicated1,"!$coff_triedToBribe",,,"1:HegemonyDedicated1Bribe:Offer to hire $himOrHer for $coff_bribeprice_text.",
HegemonyDedicated1ThreatenOption,PopulatePrisonerOptions_HegemonyDedicated1,"$coff_triedToBribe
!$coff_threatenedAllyExecution
$personFaction.rel != VENGEFUL",,"You could threaten to execute another prisoner to persuade $himOrHer into joining you. $HeOrShe may not believe you though, and may even lash out in response.","1:HegemonyDedicated1ThreatenExecution:Threaten the execution of another $thePersonFaction prisoner.","credit to Fully Automatic Waffle Press"
HegemonyDedicated1ThreatenOptionDisabled,PopulatePrisonerOptions_HegemonyDedicated1,"$coff_triedToBribe
$coff_threatenedAllyExecution
$personFaction.rel != VENGEFUL","SetTooltip HegemonyDedicated1ThreatenExecution ""The prisoner doesn't believe you.""
SetEnabled HegemonyDedicated1ThreatenExecution false",,"1:HegemonyDedicated1ThreatenExecution:Threaten the execution of another $thePersonFaction prisoner.",
HegemonyDedicated1ThreatenOptionVengeful,PopulatePrisonerOptions_HegemonyDedicated1,"$coff_triedToBribe
!$coff_threatenedAllyExecutionVengeful
!$coff_threatenedAllyExecution
$personFaction.rel == VENGEFUL",,"You could threaten to execute another prisoner to persuade $himOrHer into joining you. $HeOrShe will probably not believe you given your terrible reputation with $thePersonFaction.","1:HegemonyDedicated1ThreatenExecution:Threaten the execution of another $thePersonFaction prisoner.",
HegemonyDedicated1ThreatenOptionAgainVengeful,PopulatePrisonerOptions_HegemonyDedicated1,"$coff_triedToBribe
$coff_threatenedAllyExecutionVengeful",,"You can reassure $himOrHer that no prisoners will die if $heOrShe joins you, but your security officer advises you to release the prisoner directly back to $thePersonFaction and take the payout.","1:HegemonyDedicated1ViolentExecution:Reassure $himOrHer that no one will die if $heOrShe joins you.",
HegemonyDedicated1ThreatenOptionAgainNowVengeful,PopulatePrisonerOptions_HegemonyDedicated1,"$coff_triedToBribe
$coff_threatenedAllyExecution
!$coff_threatenedAllyExecutionVengeful
$personFaction.rel == VENGEFUL
","$coff_threatenedAllyExecutionVengeful = true
$coff_allowedactions = ""talk,ransom""","You can reassure $himOrHer that no prisoners will die if $heOrShe joins you, but your security officer advises you to release the prisoner directly back to $thePersonFaction and take the payout.","1:HegemonyDedicated1ViolentExecution:Reassure $himOrHer that no one will die if $heOrShe joins you.","if hege is vengeful AFTER execution is threatened"
HegemonyDedicated1RansomOption,PopulatePrisonerOptions_HegemonyDedicated1,"TNP_CloseToAnyFactionMarket
$coff_ransomable",,,"6:HegemonyDedicated1Ransom:Ransom $himOrHer for $coff_ransomprice_text.",
HegemonyDedicated1ReleaseOption,PopulatePrisonerOptions_HegemonyDedicated1,,,,"7:HegemonyDedicated1Release:Release $himOrHer.",
HegemonyDedicated1ReleaseOptionVengeful,PopulatePrisonerOptions_HegemonyDedicated1,"$coff_threatenedAllyExecutionVengeful == true",,,"7:HegemonyDedicated1ViolentExecution:Release $himOrHer.",
HegemonyDedicated1ExecuteOption,PopulatePrisonerOptions_HegemonyDedicated1,,,,"8:HegemonyDedicated1Execute:Execute $himOrHer.",
HegemonyDedicated1ExecuteOptionVengeful,PopulatePrisonerOptions_HegemonyDedicated1,"$coff_threatenedAllyExecutionVengeful == true",,,"8:HegemonyDedicated1ViolentExecution:Execute $himOrHer.",
HegemonyDedicated1LeaveOption,PopulatePrisonerOptions_HegemonyDedicated1,,,,"10:defaultLeave:Leave",
HegemonyDedicated1Bribe,DialogOptionSelected,"$option == HegemonyDedicated1Bribe","$coff_triedToBribe = true
FireAll PopulatePrisonerOptions_HegemonyDedicated1","$HeOrShe scoffs at your offer.
""My loyalty is to my comrades alone, it cannot be purchased like supplies for your fleet.""",,"L"
HegemonyDedicated1Ransom,DialogOptionSelected,"$option == HegemonyDedicated1Ransom","AddRemoveCommodity credits $coff_ransomprice true
FireBest TNP_RemoveActivePerson","$HeOrShe is escorted to the shuttle. As it leaves weapons range of your fleet, you hear a ping from your Tri-Pad indicating that you've received the ransom funds from the Hegemony for the officer.","defaultLeave:Good.",
HegemonyDedicated1Release,DialogOptionSelected,"$option == HegemonyDedicated1Release","FireBest TNP_ReleaseActivePerson","$PersonRank $personLastName's defiant look turns to surprise as your security chief releases them. $HeOrShe massages $hisOrHer wrists briefly before making $hisOrHer way to the provided shuttle.

""I can't say I'm not grateful, Captain. If our paths cross again, I'll remember this.""","defaultLeave:Leave.",
HegemonyDedicated1Execute,DialogOptionSelected,"$option == HegemonyDedicated1Execute","FireBest TNP_ExecuteActivePerson","$PersonRank $personLastName looks down briefly before lunging for you. Your security detail is prepared however, and pulse munitions end $hisOrHer short-lived resistance.","defaultLeave:Leave.",
HegemonyDedicated1ThreatenExecutionAltruist,DialogOptionSelected,"$option == HegemonyDedicated1ThreatenExecution","FireBest TNP_HireActivePerson","$PersonRank $personLastName looks defeated. $HeOrShe reluctantly submits to your command.

Thanks to the need to know protocols on board your ship, $heOrShe isn't likely to know whether you actually had another prisoner affiliated with them, or what you're going to do with them if you did.","defaultLeave:Leave.",
HegemonyDedicated1ThreatenExecutionViolent,DialogOptionSelected,"$option == HegemonyDedicated1ThreatenExecution","FireBest TNP_ExecuteActivePerson
AddRemoveCommodity crew -1 true","$PersonRank $personLastName lunges for you, but one of your security officers is able to tackle them. The prisoner wrestles the officer's sidearm free and executes him. The flash and sound of pulse munitions briefly fills the room, and $hisOrHer resistance is cut short.","defaultLeave:Leave.",
HegemonyDedicated1ThreatenExecutionIndifferent,DialogOptionSelected,"$option == HegemonyDedicated1ThreatenExecution","$coff_threatenedAllyExecution = true
FireAll PopulatePrisonerOptions_HegemonyDedicated1","$HeOrShe looks away from you for a brief moment, shaking $hisOrHer head.
""If you really have other $thePersonFaction prisoners here, they knew what they signed up for.""",,
HegemonyDedicated1ThreatenExecutionVengeful,DialogOptionSelected,"$option == HegemonyDedicated1ThreatenExecution
$personFaction.rel == VENGEFUL score:10","$coff_threatenedAllyExecutionVengeful = true
$coff_allowedactions = ""talk,ransom""
FireAll PopulatePrisonerOptions_HegemonyDedicated1","$HisOrHer face shows a sudden flash of anger before returning to the defiant gaze.

""I know who you are, $playerName. You murder our people by the hundreds, even thousands. They are as good as dead anyway.""",,
HegemonyDedicated1ExecutionVengefulDeath,DialogOptionSelected,"$option == HegemonyDedicated1ViolentExecution","FireBest TNP_ExecuteActivePerson","$PersonRank $personLastName lunges at you, grabbing your sidearm and pushing you to the floor. Your security detail isn't able to shoot until you deliver a fierce blow to $hisOrHer nose, knocking them to the floor. Flashes and sounds of pulse munitions fill the air, as the $personRank continues their final stand by knocking over a table. You are able to scramble out of the room under the covering fire of your security officers.

A well placed shot eventually ends the standoff violently. Three of your security officers have taken lethal injuries, and aren't able to be saved.","defaultLeave:Leave.",
HegemonyDedicated1ExecutedVengeful,TNP_ExecutedPrisoner,"$coff_dialogtrigger == HegemonyDedicated1
$coff_threatenedAllyExecutionVengeful == true","AddRemoveCommodity crew -3 true",,,"This technically can't happen as the rules are currently set up."
HegemonyDedicated1Executed,TNP_ExecutedPrisoner,"$coff_dialogtrigger == HegemonyDedicated1","AdjustRep $personFaction.id VENGEFUL -8",,,
HegemonyDedicated1Released,TNP_ReleasedPrisoner,"$coff_dialogtrigger == HegemonyDedicated1", "AdjustRep $personFaction.id INHOSPITABLE 3",,,
"#END Dedicated 1",,,,,,
"#END Hegemony",,,,,,
,,,,,,
# Tri-Tachyon,,,,,,
,,,,,,
# Greedy 1,,,,,,
PickPrisonerDialogTriTachGreedy1,PickPrisonerDialog,"$personFaction.id == tritachyon
TNP_RandomChance 20","$coff_dialogtrigger = TriTachGreedy1
TNP_CalcBribePrice 2
$coff_allowedactions = ""talk,bribe,release,execute""",,,"Tri-Tachyon official looking to make a deal."
OpenPrisonerDialogTriTachGreedy1,StartPrisonerDialog,"$coff_dialogtrigger == TriTachGreedy1 score:100
!$coff_metprisoner","$coff_metprisoner = true
FireAll PopulatePrisonerOptions_TriTachGreedy1","$personName looks up at you, and a smile grows on $hisOrHer face. $HeOrShe looks you confidently in the eyes.

""Captain, it's so nice to finally meet you. I've heard so much about you! About this predicament that I'm in -- I'm sure we can come to a good deal. How about.. $coff_bribeprice_text for my skills? I am quite the skilled captain like yourself, after all.""",,
OpenPrisonerDialogTriTachGreedy1AfterFirst,StartPrisonerDialog,"$coff_dialogtrigger == TriTachGreedy1 score:100
$coff_metprisoner","FireAll PopulatePrisonerOptions_TriTachGreedy1","$personName already has $hisOrHer corporate mask on as you enter $hisOrHer cell, and is probably thinking $heOrShe is making you an offer you can't refuse.

""Captain, it's nice to see you again. The offer is still open! Just $coff_bribeprice_text and you'll have my skills at your disposal.""",,
TriTachGreedy1BribeOptionCanAfford,PopulatePrisonerOptions_TriTachGreedy1,"$player.credits >= $coff_bribeprice",,,"TriTachGreedy1Bribe:Offer to hire $himOrHer for $coff_bribeprice_text.",
TriTachGreedy1BribeOptionCannotAfford,PopulatePrisonerOptions_TriTachGreedy1,"$player.credits < $coff_bribeprice","SetTooltip TriTachGreedy1Bribe ""Insufficient amount of credits.""
SetEnabled TriTachGreedy1Bribe false",,"TriTachGreedy1Bribe:Offer to hire $himOrHer for $coff_bribeprice_text.",
TriTachGreedy1ReleaseOption,PopulatePrisonerOptions_TriTachGreedy1,,,,"TriTachGreedy1Release:Release $himOrHer.",
TriTachGreedy1ExecuteOption,PopulatePrisonerOptions_TriTachGreedy1,,,,"TriTachGreedy1Execute:Execute $himOrHer.",
TriTachGreedy1LeaveOption,PopulatePrisonerOptions_TriTachGreedy1,,,,"defaultLeave:Leave",
TriTachGreedy1Bribe,DialogOptionSelected,"$option == TriTachGreedy1Bribe","AddRemoveCommodity credits -$coff_bribeprice true
FireBest TNP_HireActivePerson","A simple flick of your Tri-Pad is all it takes to pay the price requested by $name. Your security officer looks at you briefly. You give a silent nod to them as if to say that you are aware this is a risky investment, and they release $himOrHer from the prison and into your command.","defaultLeave:Good.",
TriTachGreedy1Release,DialogOptionSelected,"$option == TriTachGreedy1Release","FireBest TNP_ReleaseActivePerson","$name gives you a gleeful look as $heOrShe is escorted to the shuttle.

""Thank you for your time, Captain. The stay was exquisite, although your food could use a bit more spice.""","defaultLeave:Leave.",
TriTachGreedy1Execute,DialogOptionSelected,"$option == TriTachGreedy1Execute","FireBest TNP_ExecuteActivePerson","The prisoner is terrified for a brief moment, but that moment is all it takes for the life to leave $hisOrHer eyes.","defaultLeave:Leave.",
TriTachGreedy1Executed,TNP_ExecutedPrisoner,"$coff_dialogtrigger == TriTachGreedy1","AdjustRep $personFaction.id VENGEFUL -4",,,
TriTachGreedy1Released,TNP_ReleasedPrisoner,"$coff_dialogtrigger == TriTachGreedy1", "AdjustRep $personFaction.id INHOSPITABLE 3",,,
"#END Greedy 1",,,,,,
,,,,,,
# Indebted 1,,,,,,
PickPrisonerDialogTriTachIndebted1,PickPrisonerDialog,"$personFaction.id == tritachyon
TNP_RandomChance 20","$coff_dialogtrigger = TriTachIndebted1
$coff_allowedactions = ""talk,release,execute""",,,"Tri-Tachyon-affiliate indebted to an official."
OpenPrisonerDialogTriTachIndebted1,StartPrisonerDialog,"$coff_dialogtrigger == TriTachIndebted1 score:100","FireAll PopulatePrisonerOptions_TriTachIndebted1","$personName looks up at you, a stressed look on $hisOrHer face. $HeOrShe opens their mouth to speak, then looks back down, defeated.",,
TriTachIndebted1PryOption,PopulatePrisonerOptions_TriTachIndebted1,"!$coff_pried",,,"1:TriTachIndebted1Pry:Ask $himOrHer what is troubling them.",
TriTachIndebted1Pry,DialogOptionSelected,"$option == TriTachIndebted1Pry","$coff_pried = true
FireAll PopulatePrisonerOptions_TriTachIndebted1","""I'm in debt. The amount isn't important, as it's essentially a blank check for someone like me, and owed to someone that won't take no for an answer."" $HeOrShe doesn't even look at you while saying this. ""And now that I'm in this Ludd-be-damned ship, I have no hope at all of paying it.""

You consider your options.",,
TriTachIndebted1TakeLoanOption,PopulatePrisonerOptions_TriTachIndebted1,"$coff_pried
!$coff_tookloan",,"You could take $hisOrHer loan off of $hisOrHer hands. $HeOrShe would probably be grateful, but you would then be responsible for paying it.","1:TriTachIndebted1TakeLoan:Offer to take on $hisOrHer loan.",
TriTachIndebted1ProtectOption,PopulatePrisonerOptions_TriTachIndebted1,"$coff_pried
!$coff_offeredprotection
!$coff_tookloan",,"You could offer to protect $himOrHer from whatever consequences may come from not paying the loan. The official will probably hear about this, though, and will probably respond faster than the prisoner expects.","2:TriTachIndebted1Protect:Offer to protect $himOrHer.",
TriTachIndebted1ReleaseOption,PopulatePrisonerOptions_TriTachIndebted1,,,,"3:TriTachIndebted1Release:Release $himOrHer.",
TriTachIndebted1ExecuteOptionUnknown,PopulatePrisonerOptions_TriTachIndebted1,"!$coff_pried",,,"4:TriTachIndebted1Execute:Execute $himOrHer.",
TriTachIndebted1ExecuteOptionKnown,PopulatePrisonerOptions_TriTachIndebted1,"$coff_pried
!$coff_tookloan","SetTooltip TriTachIndebted1Execute ""The official who gave the prisoner the loan will not be happy about this.""",,"4:TriTachIndebted1Execute:Execute $himOrHer.",
TriTachIndebted1ExecuteOptionTookLoan,PopulatePrisonerOptions_TriTachIndebted1,"$coff_tookloan score:10",,,"4:TriTachIndebted1Execute:Execute $himOrHer.",
TriTachIndebted1Execute,DialogOptionSelected,"$option == TriTachIndebted1Execute","FireBest TNP_ExecuteActivePerson","The prisoner accepts their fate, and leaves this life peacefully.","defaultLeave:Leave.",
TriTachIndebted1Release,DialogOptionSelected,"$option == TriTachIndebted1Release","FireBest TNP_ReleaseActivePerson","The prisoner is escorted to the shuttle, which takes off shortly after $heOrShe enters it.","defaultLeave:Leave.",
TriTachIndebted1TakeLoan,DialogOptionSelected,"$option == TriTachIndebted1TakeLoan","$coff_tookloan = true
TNP_AddRandomTriTachyonLoan
CallEvent $coff_loanIntel putValuesInMemory
FireAll PopulatePrisonerOptions_TriTachIndebted1","You offer to $himOrHer to take on the loan. $HeOrShe looks up into your eyes, mouth agape. 

""I don't know how to thank you. I can't even understand why you'd do such a thing for someone that tried to kill you."" $HeOrShe looks down again, contemplating. ""I have no choice but to accept. Thank you from the bottom of my heart, truly.""",,
TriTachIndebted1Protect,DialogOptionSelected,"$option == TriTachIndebted1Protect","$coff_offeredprotection = true
SetTooltip TriTachIndebted1Hire ""The official who gave the prisoner the loan will not be happy about this.""","You offer to protect $himOrHer from anything that Tri-Tachyon sends your way. $HeOrShe looks up, surprised.

""I'm flattered, really. But you don't understand -- they will come for you, and turn you and I and everything we know into ash.,""

This seems hyperbolic at first, but you're more inclined to believe that the official that handed out the loan was more persuasive, unforgiving, and powerful than any that you've met.","1:TriTachIndebted1HireProtect:Offer to hire $himOrHer.
2:TriTachIndebted1Back:Reconsider your options.",
TriTachIndebted1HireOption,PopulatePrisonerOptions_TriTachIndebted1,"TNP_HasTooManyOfficers TriTachIndebted1Hire
$coff_tookloan",,,"1:TriTachIndebted1Hire:Offer to hire $himOrHer.",
TriTachIndebted1Hire,DialogOptionSelected,"$option == TriTachIndebted1Hire","TNP_LevelUp
TNP_HireAndRemoveActivePerson
Highlight ""$personName has gained an extra level.""","You extend your hand out to $himOrHer, commending $hisOrHer piloting skills and command of $hisOrHer crew, and finally offer to hire $himOrHer on the spot. $HeOrShe looks surprised.

""It's not the first time that you've surprised me, commander. I think I've learned a thing or two from you. I accept your offer.""

$personName has gained an extra level.","defaultLeave:Good.",
TriTachIndebted1HireProtect,DialogOptionSelected,"$option == TriTachIndebted1HireProtect","TNP_LevelUp
TNP_HireAndRemoveActivePerson
Highlight ""$personName has gained an extra level.""
TNP_SendRelentlessBountyHunters tritachyon","You extend your hand out to $himOrHer, commending $hisOrHer piloting skills and command of $hisOrHer crew, and finally offer to hire $himOrHer on the spot. $HeOrShe again looks surprised.

""It's not the first time that you've surprised me, commander. I think I've learned a thing or two from you. I accept your offer. Let's give these bastards hell.""

$personName has gained an extra level.","defaultLeave:Good.",
TriTachIndebted1Back,DialogOptionSelected,"$option == TriTachIndebted1Back","FireAll PopulatePrisonerOptions_TriTachIndebted1","You tell $himOrHer that you'll take some time to think about it.",,
TriTachIndebted1Executed,TNP_ExecutedPrisoner,"$coff_dialogtrigger == TriTachIndebted1","AdjustRep $personFaction.id VENGEFUL -4",,,
TriTachIndebted1ExecutedWithoutLoan,TNP_ExecutedPrisoner,"$coff_dialogtrigger == TriTachIndebted1
!$coff_tookloan","TNP_SendRelentlessBountyHunters tritachyon",,,
TriTachIndebted1Released,TNP_ReleasedPrisoner,"$coff_dialogtrigger == TriTachIndebted1", "AdjustRep $personFaction.id INHOSPITABLE 3",,,
"#END Indebted 1",,,,,,
"#END Tri-Tachyon",,,,,,
,,,,,,
# Sindrian Diktat,,,,,,
,,,,,,
# Loyalist 1,,,,,,
PickPrisonerDialogSindrianLoyalist1,PickPrisonerDialog,"$personFaction.id == sindrian_diktat","$coff_dialogtrigger = SindrianLoyalist1
$coff_allowedactions = ""talk,release,ransom,execute""",,,"Loyal sindrian officer."
OpenPrisonerDialogSindrianLoyalist1,StartPrisonerDialog,"$coff_dialogtrigger == SindrianLoyalist1 score:100","TNP_CalcBribePrice
FireAll PopulatePrisonerOptions_SindrianLoyalist1","You meet with the officer in your brig, the crest of the Sindrian Diktat dimly gleaming in the light. $HisOrHer eyes narrow as you approach.

""Release me or you will know the wrath of the Lion!""",,
SindrianLoyalist1BribeOptionFirst,PopulatePrisonerOptions_SindrianLoyalist1,"!$coff_triedToBribe",,,"SindrianLoyalist1Bribe:Offer to hire $himOrHer for $coff_bribeprice_text.",
SindrianLoyalist1BribeOptionDisabled,PopulatePrisonerOptions_SindrianLoyalist1,"$coff_triedToBribe","SetTooltip SindrianLoyalist1Bribe ""The prisoner doesn't take bribes.""
SetEnabled SindrianLoyalist1Bribe false",,"SindrianLoyalist1Bribe:Offer to hire $himOrHer.",
SindrianLoyalist1RansomOption,PopulatePrisonerOptions_SindrianLoyalist1,"TNP_CloseToAnyFactionMarket
$coff_ransomable",,,"6:SindrianLoyalist1Ransom:Ransom $himOrHer for $coff_ransomprice_text.",
SindrianLoyalist1ReleaseOption,PopulatePrisonerOptions_SindrianLoyalist1,,,,"7:SindrianLoyalist1Release:Release $himOrHer.",
SindrianLoyalist1ExecuteOption,PopulatePrisonerOptions_SindrianLoyalist1,,,,"8:SindrianLoyalist1Execute:Execute $himOrHer.",
SindrianLoyalist1LeaveOption,PopulatePrisonerOptions_SindrianLoyalist1,,,,"10:defaultLeave:Leave",
SindrianLoyalist1Bribe,DialogOptionSelected,"$option == SindrianLoyalist1Bribe","$coff_triedToBribe = true
FireAll PopulatePrisonerOptions_SindrianLoyalist1","The Sindrian Diktat officer growls at the thought, eyes narrowing further as you ask to name a price.

""My loyalty is not for sale, you degenerate!"" The Officer shouts, holding whatever air of authority $heOrShe can muster despite the situation. ""Only in death shall sever my service to the Lion!""",,
SindrianLoyalist1Ransom,DialogOptionSelected,"$option == SindrianLoyalist1Ransom","AddRemoveCommodity credits $coff_ransomprice true
FireBest TNP_RemoveActivePerson","$HeOrShe is escorted to the shuttle. As it leaves weapons range of your fleet, you hear a ping from your Tri-Pad indicating that you've received the ransom funds for the officer.","defaultLeave:Good.",
SindrianLoyalist1Release,DialogOptionSelected,"$option == SindrianLoyalist1Release","FireBest TNP_ReleaseActivePerson","$HeOrShe gives you one last fierce look as $heOrShe enters the waiting shuttle.

""This doesn't mean you've seen the last of the Lion. Continue your criminal actions against it and you will face its wrath again!""","defaultLeave:Leave.",
SindrianLoyalist1Execute,DialogOptionSelected,"$option == SindrianLoyalist1Execute","FireBest TNP_ExecuteActivePerson","As you order the execution of the prisoner, the $PersonRank stares at you defiantly.

""My death shall be but a stepping down for the Lion! May my life ensure that scum like you will face their judg-""

A deafening boom is enough to silence the officer as $heOrShe slumps over. You shake your head as you turn away, leaving the body to be disposed of by your crew.","defaultLeave:Leave.",
SindrianLoyalist1Executed,TNP_ExecutedPrisoner,"$coff_dialogtrigger == SindrianLoyalist1","AdjustRep $personFaction.id VENGEFUL -6",,,
SindrianLoyalist1Released,TNP_ReleasedPrisoner,"$coff_dialogtrigger == SindrianLoyalist1", "AdjustRep $personFaction.id INHOSPITABLE 3",,,
"#END Loyalist 1",,,,,,
,,,,,,
# Unloyalist 1,,,,,,
PickPrisonerDialogSindrianUnloyalist1,PickPrisonerDialog,"$personFaction.id == sindrian_diktat
TNP_RandomChance 30","$coff_dialogtrigger = SindrianUnloyalist1
$coff_allowedactions = ""talk,hire,release,execute""",,,"Paranoia about being executed. Will absolutely do their best to avoid being sent back."
OpenPrisonerDialogSindrianUnloyalist1,StartPrisonerDialog,"$coff_dialogtrigger == SindrianUnloyalist1 score:100","TNP_CalcBribePrice
FireAll PopulatePrisonerOptions_SindrianUnloyalist1","The Diktat officer jitters about as $heOrShe sits in $hisOrHer cell. You can barely hear $himOrHer mumbling something under $hisOrHer breath.

""Can't go back, can't go back, they'll kill you, they'll kill you...""

It seems more directed towards the self rather than anyone else.",,"Default dialog."
SindrianUnloyalist1BribeOption,PopulatePrisonerOptions_SindrianUnloyalist1,,,,"SindrianUnloyalist1Hire:Offer to hire $himOrHer for $coff_bribeprice_text.",
SindrianUnloyalist1RansomOption,PopulatePrisonerOptions_SindrianUnloyalist1,"TNP_CloseToAnyFactionMarket
$coff_ransomable",,,"6:SindrianUnloyalist1Ransom:Ransom $himOrHer for $coff_ransomprice_text.",
SindrianUnloyalist1RansomOptionConfirm,PopulatePrisonerOptions_SindrianUnloyalist1_Ransom,,,,"6:SindrianUnloyalist1RansomConfirm:Ransom $himOrHer for $coff_ransomprice_text.",
SindrianUnloyalist1RansomOptionDeny,PopulatePrisonerOptions_SindrianUnloyalist1_Ransom,,,,"7:SindrianUnloyalist1RansomDeny:Tell $himOrHer that you won't ransom them.",
SindrianUnloyalist1ReleaseOption,PopulatePrisonerOptions_SindrianUnloyalist1,,,,"7:SindrianUnloyalist1Release:Release $himOrHer.",
SindrianUnloyalist1ExecuteOption,PopulatePrisonerOptions_SindrianUnloyalist1,,,,"8:SindrianUnloyalist1Execute:Execute $himOrHer.",
SindrianUnloyalist1LeaveOption,PopulatePrisonerOptions_SindrianUnloyalist1,,,,"10:defaultLeave:Leave",
SindrianUnloyalist1Hire,DialogOptionSelected,"$option == SindrianUnloyalist1Hire","FireBest TNP_HireAndRemoveActivePerson","
""Y-you're going to hire me?"" $HeOrShe stutters. ""P-please, I'll do anything you want! I'll sweep the floors, I'll cook your food, I'll do space walks, just anything but sending me back to Askonia! Y-you don't even have to pay me! Just keep me the hell away from the Diktat!""

After letting the officer calm down, you allow your security team to brief the officer in preparation for $himOrHer to begin their new job as an officer for you.","10:defaultLeave:Leave",
SindrianUnloyalist1RansomFirst,DialogOptionSelected,"$option == SindrianUnloyalist1Ransom","FireAll PopulatePrisonerOptions_SindrianUnloyalist1_Ransom","""N-no, no! I c-can't go back! They're gonna kill me... they're gonna kill me!""
The officer begins rocking back and forth as they keep incoherently talking to themself.
""Gonna kill me, they're gonna kill me!""",,
SindrianUnloyalist1RansomDeny,DialogOptionSelected,"$option == SindrianUnloyalist1RansomDeny","FireAll PopulatePrisonerOptions_SindrianUnloyalist1","""Not... going back to Askonia?""

The officer seems to calm down, though it seems clear that they don't want to be sent back to $thePersonFaction.",,
SindrianUnloyalist1RansomConfirm,DialogOptionSelected,"$option == SindrianUnloyalist1RansomConfirm","AddRemoveCommodity credits $coff_ransomprice true
FireBest TNP_RemoveActivePerson","""N-no... NO! YOU CAN'T SENT ME BACK. THEY'RE GOING TO KILL ME!""

The officer screams and roars, thrashing about their cell. It takes a few of your crew to subdue them, and after managing to knock the officer unconscious, you have your crew bring the officer to a waiting shuttle directed back to the Diktat.","defaultLeave:Leave.",
